ticker,model,horizon,fold,n_train,train_start,train_end,train_end_row,test_start,test_end,test_start_row
BTCUSDT,hgb,15,4,7188,2026-08-26 22:54:00+00:00,2026-09-20 22:34:00+00:00,35980,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
SOLUSDT,logit,5,0,1402,2026-08-26 22:55:00+00:00,2026-08-31 22:45:00+00:00,7190,2026-08-31 22:55:00+00:00,2026-09-05 22:50:00+00:00,7200
SOLUSDT,logit,5,1,2789,2026-08-26 22:55:00+00:00,2026-09-05 22:45:00+00:00,14390,2026-09-05 22:55:00+00:00,2026-09-10 22:50:00+00:00,14400
SOLUSDT,logit,5,2,4183,2026-08-26 22:55:00+00:00,2026-09-10 22:45:00+00:00,21590,2026-09-10 22:55:00+00:00,2026-09-15 22:50:00+00:00,21600
SOLUSDT,logit,5,3,5560,2026-08-26 22:55:00+00:00,2026-09-15 22:45:00+00:00,28790,2026-09-15 22:55:00+00:00,2026-09-20 22:50:00+00:00,28800
SOLUSDT,logit,5,4,6974,2026-08-26 22:55:00+00:00,2026-09-20 22:45:00+00:00,35990,2026-09-20 22:55:00+00:00,2026-09-25 22:50:00+00:00,36000
SOLUSDT,logit,10,0,1406,2026-08-26 22:55:00+00:00,2026-08-31 22:40:00+00:00,7185,2026-08-31 22:55:00+00:00,2026-09-05 22:50:00+00:00,7200
SOLUSDT,logit,10,1,2808,2026-08-26 22:55:00+00:00,2026-09-05 22:40:00+00:00,14385,2026-09-05 22:55:00+00:00,2026-09-10 22:50:00+00:00,14400
SOLUSDT,logit,10,2,4212,2026-08-26 22:55:00+00:00,2026-09-10 22:40:00+00:00,21585,2026-09-10 22:55:00+00:00,2026-09-15 22:50:00+00:00,21600
SOLUSDT,logit,10,3,5611,2026-08-26 22:55:00+00:00,2026-09-15 22:40:00+00:00,28785,2026-09-15 22:55:00+00:00,2026-09-20 22:50:00+00:00,28800
SOLUSDT,logit,10,4,7021,2026-08-26 22:55:00+00:00,2026-09-20 22:40:00+00:00,35985,2026-09-20 22:55:00+00:00,2026-09-25 22:50:00+00:00,36000
SOLUSDT,logit,15,0,1411,2026-08-26 22:55:00+00:00,2026-08-31 22:35:00+00:00,7180,2026-08-31 22:55:00+00:00,2026-09-05 22:50:00+00:00,7200
SOLUSDT,logit,15,1,2832,2026-08-26 22:55:00+00:00,2026-09-05 22:35:00+00:00,14380,2026-09-05 22:55:00+00:00,2026-09-10 22:50:00+00:00,14400
SOLUSDT,logit,15,2,4244,2026-08-26 22:55:00+00:00,2026-09-10 22:35:00+00:00,21580,2026-09-10 22:55:00+00:00,2026-09-15 22:50:00+00:00,21600
SOLUSDT,logit,15,3,5648,2026-08-26 22:55:00+00:00,2026-09-15 22:35:00+00:00,28780,2026-09-15 22:55:00+00:00,2026-09-20 22:50:00+00:00,28800
